"game_id","team_id","HoA","won","settled_in","head_coach","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","faceOffWinPercentage","giveaways","takeaways"
"2012020507","2","away",FALSE,"REG","Jack Capuano",0,35,12,4,4,0,36.1,0,2
"2012020683","2","away",FALSE,"SO","Jack Capuano",3,39,22,0,2,0,64.8,7,8
"2012020173","2","home",FALSE,"REG","Jack Capuano",4,28,14,8,5,4,52.3,19,6
"2012020582","2","home",TRUE,"REG","Jack Capuano",4,32,19,9,1,0,49,16,6
"2012020644","2","away",TRUE,"REG","Jack Capuano",5,38,25,18,5,1,57.1,13,13
"2012020040","2","away",TRUE,"REG","Jack Capuano",7,34,24,10,2,1,55.7,10,13
"2012020094","2","away",TRUE,"OT","Jack Capuano",5,35,4,15,4,3,55.9,1,3
"2013020740","2","home",TRUE,"SO","Jack Capuano",3,43,32,18,6,2,55.2,14,4
"2013020602","2","away",TRUE,"REG","Jack Capuano",5,31,22,8,8,4,42.5,11,7
"2013020016","2","away",TRUE,"SO","Jack Capuano",3,26,15,4,2,0,53.8,3,6
"2013020632","2","home",FALSE,"REG","Jack Capuano",2,40,21,4,2,1,41.1,18,14
"2013020278","2","home",FALSE,"REG","Jack Capuano",2,25,24,11,4,0,41.5,14,16
"2013021181","2","home",FALSE,"REG","Jack Capuano",1,46,27,19,3,0,48.5,12,15
"2012020369","2","away",FALSE,"REG","Jack Capuano",1,24,11,10,3,0,32.8,3,3
"2013020856","2","home",FALSE,"REG","Jack Capuano",2,30,20,4,5,0,56.4,8,20
"2013020775","2","home",FALSE,"SO","Jack Capuano",3,36,17,8,5,0,55.1,9,12
"2013020149","2","away",TRUE,"REG","Jack Capuano",4,25,24,10,1,1,36,4,7
"2013020117","2","home",FALSE,"REG","Jack Capuano",3,25,13,6,5,2,54.7,9,4
"2013020469","2","away",TRUE,"SO","Jack Capuano",2,28,34,8,1,0,43.9,16,8
"2013020194","2","away",TRUE,"SO","Jack Capuano",4,57,34,6,4,0,45.7,8,5
"2012020021","2","home",TRUE,"REG","Jack Capuano",4,44,14,18,7,1,47,10,10
"2013020130","2","home",FALSE,"OT","Jack Capuano",4,32,36,4,4,2,45,12,9
"2012020430","2","home",FALSE,"REG","Jack Capuano",3,29,34,2,6,1,56.1,12,7
"2013020849","2","away",TRUE,"REG","Jack Capuano",1,28,36,19,5,0,44.9,15,11
"2013020297","2","home",TRUE,"SO","Jack Capuano",4,41,28,2,6,1,49.1,11,15
"2012020312","2","home",TRUE,"SO","Jack Capuano",2,35,33,6,5,0,50.9,14,7
"2013020819","2","away",FALSE,"REG","Jack Capuano",1,39,19,10,3,0,42.9,4,4
"2013020428","2","away",FALSE,"REG","Jack Capuano",1,23,18,31,3,1,52,3,2
"2012020207","2","home",TRUE,"REG","Jack Capuano",5,33,29,10,6,3,63,17,17
"2012020289","2","home",FALSE,"OT","Jack Capuano",4,27,23,0,0,0,55.9,7,11
"2012020522","2","away",TRUE,"REG","Jack Capuano",3,21,21,9,2,1,45.3,6,8
"2013021131","2","home",TRUE,"REG","Jack Capuano",4,40,31,18,4,1,50,15,7
